url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_question_marks,num_equals,num_ampersands,num_percent,num_at,num_digits,num_letters,digit_ratio,uses_https,is_ip_address,num_subdomains,num_query_params,suspicious_word_count,url_entropy,long_hostname,special_char_ratio,actual,predicted,malicious_probability
25,18,0,0,2,0,0,2,0,0,0,0,0,0,20,0.0,0,0,1,0,0,3.9736606896881854,0,0.2,1,1,0.991523011672439
28,20,0,0,2,0,0,2,0,0,0,0,0,0,23,0.0,1,0,1,0,0,3.6514789228933084,0,0.17857142857142858,0,0,0.005130257813225598
28,20,0,0,2,0,0,2,0,0,0,0,0,0,23,0.0,1,0,1,0,0,4.012188403968661,0,0.17857142857142858,0,0,0.008610526589804946
53,44,1,0,2,0,0,3,0,0,0,0,0,12,35,0.22641509433962265,1,0,1,0,0,4.3884163326822385,0,0.11320754716981132,1,1,0.9991035503740714
18,11,0,0,2,0,0,2,0,0,0,0,0,0,13,0.0,0,0,1,0,0,3.4613201402110083,0,0.2777777777777778,1,1,0.9872779597184101
24,17,0,0,2,0,0,2,0,0,0,0,0,0,19,0.0,0,0,1,0,0,3.7406015629507228,0,0.20833333333333334,1,1,0.9901853234817914
26,18,0,0,2,0,0,2,0,0,0,0,0,0,21,0.0,1,0,1,0,0,3.8731406795131327,0,0.19230769230769232,0,0,0.005348427811046243
29,22,0,0,2,0,0,2,0,0,0,0,0,0,24,0.0,0,0,1,0,0,3.857306856898128,0,0.1724137931034483,1,1,0.9837366326478275
106,42,56,0,5,2,0,3,0,0,0,0,0,6,89,0.05660377358490566,1,0,3,0,0,4.558800912425654,0,0.10377358490566038,1,1,1.0
25,17,0,0,2,0,0,2,0,0,0,0,0,0,20,0.0,1,0,1,0,0,3.8936606896881854,0,0.2,0,0,0.0030593884458796385
35,26,1,0,2,1,0,3,0,0,0,0,0,4,24,0.11428571428571428,1,0,1,0,0,4.457575159678481,0,0.2,1,1,0.9971881336335775
31,23,0,0,2,0,0,2,0,0,0,0,0,0,26,0.0,1,0,1,0,0,3.9134007456613773,0,0.16129032258064516,0,0,0.004214823611314164
28,20,0,0,2,0,0,2,0,0,0,0,0,0,23,0.0,1,0,1,0,0,3.923251796980338,0,0.17857142857142858,0,0,0.0062027140142167795
26,18,0,0,4,0,0,2,0,0,0,0,0,2,17,0.07692307692307693,1,0,3,0,0,3.6902603909683838,0,0.2692307692307692,0,0,0.07311685054422336
22,14,0,0,2,0,0,2,0,0,0,0,0,0,17,0.0,1,0,1,0,0,3.788754913993503,0,0.22727272727272727,0,0,0.01743044864218114
24,16,0,0,2,0,0,2,0,0,0,0,0,0,19,0.0,1,0,1,0,0,3.855388542207534,0,0.20833333333333334,0,0,0.005451851578679096
23,16,0,0,1,1,0,2,0,0,0,0,0,0,18,0.0,0,0,0,0,0,3.501397825434103,0,0.21739130434782608,1,1,0.9966666666666667
30,22,0,0,2,0,0,2,0,0,0,0,0,0,25,0.0,1,0,1,0,0,3.9232314287976204,0,0.16666666666666666,0,0,0.004360213646522737
66,7,52,0,1,0,0,4,0,0,0,0,0,8,52,0.12121212121212122,0,0,0,0,0,4.610618505978293,0,0.09090909090909091,1,1,1.0
31,23,0,0,2,0,0,2,0,0,0,0,0,0,26,0.0,1,0,1,0,0,3.889049535914169,0,0.16129032258064516,0,0,0.004589946637497161
